Reference1,Sample_Zircon_Spot,Y,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu
 Buret et al. 2016,YB39-z05,802,1.1,22.1,0.31,1.6,1.7,0.8,9.6,4.2,53.9,23.6,130,33.4,361,88
 Buret et al. 2016,YB39-z06,948,1.03,20.7,0.36,1.9,2.1,1,11.7,5.1,66.1,28.5,156,39.4,417,100
 Buret et al. 2016,YB39-z08,1097,1.13,26.9,0.35,2,2.5,1.1,13.9,6.1,80,33.7,179,44.5,458,105
 Buret et al. 2016,YB39-z10,762,2.04,24.5,0.44,2.5,1.8,0.7,9.4,4,55.2,23.9,131,33.3,351,84
 Buret et al. 2016,YB39-z11,762,1.96,23.9,0.59,2.8,1.9,0.8,9.4,4,52.2,22.6,122,31.3,332,79
 Buret et al. 2016,YB39-z12,789,0.67,21.2,0.07,1.2,1.5,0.7,8.8,3.9,54.2,23.9,135,34.6,371,88
 Buret et al. 2016,YB39-z13,741,0.45,17.6,0.14,1,1.5,0.7,8.8,3.8,51.1,22,120,30.3,326,77
 Buret et al. 2016,YB39-z16,856,0.73,19.5,0.23,1.4,2,0.9,10.9,4.8,61,26.4,142,36,374,87
 Buret et al. 2016,YB39-z17,917,0.66,23.3,0.18,1.3,1.9,0.9,10.7,4.7,60.7,26.4,146,38.1,416,104
 Buret et al. 2016,YB39-z18,1010,1.2,28.9,0.25,1.9,2.3,1,12.9,5.6,73.1,31,166,41.7,428,99
 Buret et al. 2016,YB39-z19,844,1.4,25.6,0.14,1.6,1.8,0.8,9.7,4.2,56.2,24.6,139,36.1,392,97
 Buret et al. 2016,YB39-z20,777,1,22.7,0.3,1.7,1.8,0.9,9.9,4.2,52.9,23.1,125,32.3,341,83
 Buret et al. 2016,YB39-z21,824,0.71,18.7,0.23,1.4,1.9,0.9,10.4,4.6,59,25.3,135,34.1,355,83
 Buret et al. 2016,YB37-z20,768,1.86,23.1,0.56,3,2.3,1.1,10.2,4.1,51.4,22.3,122,32.4,360,90
 Buret et al. 2016,YB37-z02,647,3.4,24.4,0.66,3.5,2,0.6,8.2,3.4,45.7,20,111,28.6,309,76
 Buret et al. 2016,YB37-z04,713,0.72,18.8,0.24,1.5,1.8,0.8,9.3,3.8,49,21.2,116,29.6,318,77
 Buret et al. 2016,YB37-z07,772,0.31,18.7,0.11,1,1.8,0.9,10.1,4.2,54,23,125,31.8,345,83
 Buret et al. 2016,YB37-z19,993,0.48,21.6,0.17,1.5,2.5,1.2,14,5.8,73.7,30.3,159,38.7,394,91
 Buret et al. 2016,YB37-z10,993,0.31,26.5,0.13,1.3,2.4,1.1,13.1,5.5,69.4,29.1,156,38.6,408,97
 Buret et al. 2016,YB37-z13,837,1.81,23.2,0.45,2.4,2,0.9,10.6,4.5,58.4,24.9,134,34.2,358,85
 Buret et al. 2016,YB37-z09,812,1.24,20.3,0.01,1.7,2,0.8,10.9,4.5,60,25.4,137,34.3,361,85
 Buret et al. 2016,YB37-z12,773,0.81,20.5,0.11,1.4,1.8,0.8,9.8,4.2,57.1,24.4,132,33.3,348,82
 Buret et al. 2016,YB37-z17,754,1.98,20.9,0.5,2.4,1.7,0.8,8.8,3.8,50.1,22.2,124,32.3,353,87
 Buret et al. 2016,YB37-z14,792,3.77,25.7,0.81,3.2,2.1,0.9,10.4,4.3,56.4,24,129,32.5,349,83
 Buret et al. 2016,YB37-z06,973,1.63,23,0.5,2.4,2.5,1.1,13.2,5.7,71.2,30.6,160,40,416,97
 Buret et al. 2016,YB38-z11,905,0.39,20.3,0.17,1.6,2.5,1.1,12.5,5.1,61.8,25.4,135,33.2,347,82
 Buret et al. 2016,YB38-z13,786,1.21,22.7,0.3,1.6,2.1,1,10.7,4.4,55.6,23.5,127,31.9,345,83
 Buret et al. 2016,YB38-z27,875,0.66,23.6,0.01,1.5,2.2,1,11.7,4.8,63.6,27,146,36.3,379,88
 Buret et al. 2016,YB38-z09,952,0.15,24.7,0.14,1.4,2.7,1.5,13.6,5.4,67.4,27.9,149,37.8,401,95
 Buret et al. 2016,YB38-z25,1373,0.61,37,0.02,3,4.8,2.4,22,9,107.1,43.1,222,54.1,544,122
 Buret et al. 2016,YB38-z18,792,1.72,24.4,0.46,2.3,1.9,0.8,9.7,4.2,53.7,23.3,127,32.2,346,82
 Buret et al. 2016,YB38-z20,758,0.5,20.5,0.03,1,1.5,0.7,8.8,3.9,52.5,22.8,125,31.7,336,80
 Buret et al. 2016,YB38-z01,899,1.03,22,0.24,1.7,2.3,1.1,12.4,5.2,65.4,27.2,144,35.7,373,86
 Buret et al. 2016,YB38-z22,962,0.51,20.7,0.2,1.5,2.4,1.1,13.1,5.5,70.3,29.2,155,38.6,395,91
 Buret et al. 2016,YB38-z08,1003,9.64,44.6,2.59,12.4,4.2,1.5,15.2,6,78.3,32.7,173,41.8,419,95
 Buret et al. 2016,YB38-z07,2312,0.19,82.6,0.19,3,7,3.5,40.1,16.2,190.8,73.5,353,78.6,748,163
 Buret et al. 2016,YB38-z05,862,0.38,17.3,0.16,1.2,2,0.9,11.2,4.8,62.1,26.2,142,35.6,374,89
 Buret et al. 2016,YB40-z10,1097,1.42,32.4,0.49,1.8,2.6,1.1,14,5.8,75.3,32.2,176,44.5,480,116
 Buret et al. 2016,YB40-z22,1340,366,786,102,447,108,35.8,118.2,21.3,156.9,44.5,189,41.6,402,91
 Buret et al. 2016,YB40-z08,754,1.25,22,0.38,2,1.8,0.8,9.2,4,52.3,22.5,123,31.6,340,81
 Buret et al. 2016,YB40-z04,900,0.44,21.6,0.17,1.5,2.6,1.2,13.3,5.3,66.3,27.2,143,35.3,367,86
 Buret et al. 2016,YB40-z12,1138,1.47,33.8,0.5,1.9,2.7,1.2,14.8,6.2,77.9,33.6,185,47,505,122
 Buret et al. 2016,YB40-z06,846,1.46,22,0.38,2.1,2.3,1,11.6,4.7,60.5,25.4,136,34.5,362,87
 Buret et al. 2016,YB40-z09,771,0.65,19.4,0.21,1.4,2.1,1,10.5,4.4,55.1,23.2,126,31.6,333,79
 Buret et al. 2016,YB40-z20,784,3.11,26.4,0.61,3,1.9,0.8,9.6,4.1,57.1,25,139,35.2,370,87
 Buret et al. 2016,YB40-z18,787,0.95,20.5,0.18,1.6,1.9,0.8,9.9,4.2,55.9,24,131,33,350,82
 Buret et al. 2016,YB40-z05,1011,6.41,39.5,2.22,9.8,3.5,1,12.9,5.2,67.9,29.7,163,41.5,442,106
 Buret et al. 2016,YB40-z11,757,1.06,19.9,0.1,1.7,1.5,0.6,8.7,3.9,53.6,23.4,130,33.1,350,82
 Buret et al. 2016,YB40-z13,848,0.59,21,0.2,1.3,1.8,0.8,10.2,4.4,57.8,25.3,138,35.3,369,87
 Buret et al. 2016,YB40-z19,939,2.62,29,0.77,4.2,2.8,1.1,13.1,5.5,72.6,30.6,163,39.7,406,98
 Buret et al. 2016,YB40-z17,861,1.24,21.2,0.34,2,2,0.9,10.9,4.6,60.2,25.6,139,34.9,368,87
 Buret et al. 2016,YB40-z01,1172,1.19,24,0.35,2.1,2.7,1.2,14.9,6.4,82.7,35.5,191,48.2,512,122
 Buret et al. 2016,YB40-z24,1189,198,420,54.6,241,57.1,18.8,66.4,13.5,115,38.7,183,42.7,424,97
 Buret et al. 2016,YB40-z23,960,0.87,21.3,0.28,1.7,2.1,1,12.1,5.3,68.6,29,156,38.9,412,96
 Buret et al. 2017,SR62_1_c,596,0.03,8.4,0.013,0.22,0.6,0.4,5.6,2.6,38.5,17.6,97,27.1,315,76.1
 Buret et al. 2017,SR62_2_r,1199,0.01,14.9,0.026,0.39,1.4,0.8,12.3,5.6,79.6,36.2,197,52.4,583,125.8
 Buret et al. 2017,SR62_3_r,1323,0.02,15.6,0.02,0.46,1.3,1,14.2,6.6,91.9,41.3,217,58.3,638,127.3
 Buret et al. 2017,SR62_4_r,1155,0.01,11.9,0.006,0.22,1.3,0.7,13.5,6,87.7,38.4,188,47,481,95.5
 Buret et al. 2017,SR62_5_c,2515,0.05,23.8,0.137,2.06,6.9,3,41.9,15.5,204.6,80.5,389,91.5,918,177.8
 Buret et al. 2017,SR62_6_c,2092,0.01,20,0.051,1.48,5.3,2.1,33.7,13,171.2,69.9,332,78.5,782,151.1
 Buret et al. 2017,SR62_6_r,1545,0.01,18.3,0.009,0.48,1.6,1.2,17.1,7.4,111.9,50.2,259,67.5,721,145.7
 Buret et al. 2017,SR62_8_c,1544,0.01,11.6,0.037,0.73,3.3,1.7,21.7,9.1,120.2,51.2,249,59.2,580,117
 Buret et al. 2017,SR62_11_r,1241,0.01,18.5,0.016,0.27,1.4,0.9,13.2,6,88.2,39.2,199,50.7,548,112.2
 Buret et al. 2017,SR62_12_r,1528,0.28,27.2,0.154,1.37,3.4,1.6,23,8.9,122,50.1,248,59.2,616,121.2
 Buret et al. 2017,SR62_13_m,2993,0.01,78.4,0.071,2.06,7.6,3.2,53.7,20.7,262.4,101.8,461,105.4,1015,186.5
 Buret et al. 2017,SR62_15_c,1071,0.05,13.7,0.017,0.38,1.1,0.6,8.4,4,61.3,30.6,174,49.8,611,138.5
 Buret et al. 2017,SR62_18_c,912,0.02,8.5,0.014,0.24,1,0.5,8.1,4,56.8,27.7,144,38.8,424,90.6
 Buret et al. 2017,SR62_21_c,690,0.02,10.6,0.01,0.29,0.8,0.5,6.9,3,43.6,20.3,110,30.6,364,88.4
 Buret et al. 2017,SR62_23_c,719,0.01,13,0.017,0.24,0.6,0.5,5.7,2.4,37.8,19.8,119,36.8,475,117
 Buret et al. 2017,SR62_30_r,955,0.02,10.5,0.012,0.35,1.1,0.6,11.2,4.2,65.6,28.4,157,40.3,440,98.9
 Buret et al. 2017,SR62_32_c,2059,0.01,14.6,0.027,0.92,4.3,2.2,31.9,12.7,172.8,68.4,326,76.5,771,145.4
 Buret et al. 2017,SR62_34_c,587,0.06,10.5,0.041,0.49,0.8,0.6,7.8,2.8,35.9,16.7,93,25.4,302,77.1
 Buret et al. 2017,SR62_35_c,541,0.02,8.3,0.005,0.14,0.5,0.4,5.2,2.4,34,15.8,89,24.8,291,71.1
 Buret et al. 2017,SR62_35_r,1129,0.04,13.8,0.035,0.41,1.1,0.6,11.4,5.1,75.6,35.5,187,49.4,540,115.8
 Buret et al. 2017,SR62_36_c,1295,0.01,11.1,0.012,0.39,1.6,1.1,15.3,6.7,94.4,41.3,212,52.9,567,118.8
 Buret et al. 2017,SR62_38_c,731,0.01,18.3,0.034,0.4,1.3,0.7,8.6,3.7,50.8,22.6,121,32.7,367,79.9
 Buret et al. 2017,SR62_42_c,838,0.01,16.3,0.022,0.43,0.8,0.7,6.8,2.9,44.7,23.4,142,41.5,539,135.7
 Buret et al. 2017,SR62_43_r,1271,0.1,19.9,0.058,0.69,2,0.9,14,6.3,89.9,40,207,54,587,120.6
 Buret et al. 2017,SR62_47_r,1754,0.01,20.2,0.005,0.31,2,1,18.2,8.6,124.2,56,291,74,793,162.8
 Buret et al. 2017,SR62_54_c,4855,0.02,89,0.387,6.94,16.2,7.2,93.5,32.5,412.9,161.2,746,168.8,1653,313.9
 Buret et al. 2017,SR59_4_c,3560,0.03,92.2,0.304,6.22,12.6,5.2,71.8,24.7,296.5,110,490,104,981,181.6
 Buret et al. 2017,SR59_8_c,927,0.03,13.8,0.034,0.45,1.1,0.5,8.3,3.2,50,24,145,41.1,519,137.8
 Buret et al. 2017,SR59_9_c,960,0.09,15,0.063,0.82,1.4,0.7,9.8,4,57.8,26.4,155,42.6,517,128.2
 Buret et al. 2017,SR59_9_r,1571,0.01,17.4,0.008,0.34,1.8,1.1,17.3,7.7,112.1,49.8,256,62.5,653,138.1
 Buret et al. 2017,SR59_19_c,601,0.05,9.1,0.017,0.31,0.6,0.4,6,2.3,34.5,16.3,96,26.8,335,86.4
 Buret et al. 2017,SR59_24_c,1660,0.08,16.4,0.07,1.11,3.1,1.6,24.5,9.3,127.8,53.2,271,64.4,674,146.7
 Buret et al. 2017,SR59_30_r,2488,0.03,25.8,0.029,0.57,2.6,1.4,26,11.5,170,74.9,382,89.9,931,188.8
 Buret et al. 2017,SR59_32_c,839,0.08,16,0.047,0.72,1.5,0.8,10,3.6,49.7,22.6,129,34.4,421,107.1
 Buret et al. 2017,SR59_33_c,965,0.03,16.3,0.037,0.68,1.9,0.8,13.4,5.3,71.8,30.4,155,36.9,387,80.8
 Buret et al. 2017,SR59_33_r,1168,0.04,11.6,0.029,0.39,1.1,0.7,12.5,5.7,85.5,36.9,194,46.5,481,99.3
 Buret et al. 2017,SR59_36_c,1258,0.01,15.1,0.043,0.94,2.6,1.1,17.5,6.9,96.8,40.9,208,51,531,111
 Buret et al. 2017,SR59_37_c,678,0.01,8.7,0.024,0.28,0.8,0.5,7,2.8,41.1,19.2,108,29.1,362,88.8
 Buret et al. 2017,SR59_37_r,1283,0.03,14.1,0.018,0.28,1.6,0.8,13.9,6,89.2,40.5,220,55.3,599,133.4
 Buret et al. 2017,SR59_52_c,2660,0.02,20,0.058,1.35,4.6,1.9,36.2,14.7,203,88.2,424,96.2,948,188.8
 Buret et al. 2017,SR59_80_c,749,0.03,11.1,0.023,0.33,1,0.7,7.1,3.1,45.1,20.8,117,32.4,397,100.7
 Buret et al. 2017,SR59_80_r,2040,0.01,20.2,0.012,0.39,1.9,1.2,22.1,9.8,149,64.3,327,78.8,799,161.8
 Buret et al. 2017,SR63_1_c,529,0.01,9.5,0.009,0.2,0.6,0.3,4.3,1.9,28.8,13.6,86,25.3,322,83.7
 Buret et al. 2017,SR63_2_c,1482,0.01,32.4,0.024,0.61,2.2,1.2,17,6.8,93,43.2,230,62.2,709,160.2
 Buret et al. 2017,SR63_5_c,938,0.01,16.8,0.011,0.34,1,0.6,8.8,3.8,53.1,26.4,148,42.3,519,125.8
 Buret et al. 2017,SR63_5_m,2330,0.04,24.4,0.02,0.61,2.7,1.5,25.7,12.1,172.6,75.7,377,91.1,955,184.3
 Buret et al. 2017,SR63_10_c,818,0.02,14.9,0.053,0.52,1.2,0.8,9.3,3.3,47.5,21.6,124,35.2,448,112.5
 Buret et al. 2017,SR63_12_c,1598,0.01,26.2,0.134,2.71,6.3,2.4,28.9,10.6,132,55.4,249,58.8,599,122.1
 Buret et al. 2017,SR63_12_r,1757,0.01,16.8,0.01,0.29,1.6,1,18.8,8.5,127.9,57.6,292,72.5,758,147.1
 Buret et al. 2017,SR63_20_r,1786,0.01,16.3,0.004,0.25,1.4,1,16.1,7.2,115.8,54,292,70.8,743,169.4
 Buret et al. 2017,SR63_21_m,814,0.01,18.6,0.01,0.37,1.1,0.6,8.8,3.4,48.9,21.9,128,34.3,414,96.9
 Buret et al. 2017,SR63_22_c,1484,0.02,26.2,0.025,0.39,1.5,0.7,11.2,5.1,78.6,39.5,235,65.9,799,190.2
 Buret et al. 2017,SR63_23_r,2102,0.02,21.9,0.004,0.54,2.9,1.4,26.1,11.6,162.9,69.9,339,81.4,842,155.2
 Buret et al. 2017,SR63_26_r,1184,0.01,13.1,0.001,0.35,1,0.7,13.4,6.3,85.1,37.9,194,47.6,486,96.5
 Buret et al. 2017,SR63_30_r,1226,0.02,16.2,0.006,0.26,1.6,0.8,14,6.2,88.1,38.7,194,48.9,528,106.9
 Buret et al. 2017,SR63_32_c,932,0.01,11.9,0.028,0.4,1.2,0.9,10.3,4.3,63.7,28.5,145,38.2,429,94.8
 Buret et al. 2017,SR63_32_r,1706,0.03,22.4,0.019,0.38,1.7,1,17.1,7.4,111.8,51.7,271,67.6,716,155.3
 Buret et al. 2017,SR63_34_r,1256,0.03,14.1,0.019,0.31,1.2,0.7,14.7,6.3,90.7,40.5,204,50,522,110.1
 Buret et al. 2017,SR63_37_c,679,0.01,7.5,0.007,0.13,0.5,0.4,6.4,2.9,44.2,19.8,110,29.9,338,75.2
 Buret et al. 2017,SR63_38_r,2653,0.04,24.7,0.038,1.45,4,1.9,37.7,15.3,218.5,92.6,445,101,990,189.7
 Buret et al. 2017,SR63_39_c,1359,0.15,15,0.092,1.13,2.6,1.3,19.1,7.8,103.1,44.5,217,52.1,548,111.1
 Buret et al. 2017,SR63_39_r,1788,0.15,17.8,0.076,0.67,2,1.4,18.2,8.4,124.3,55.1,295,73.1,768,157.6
 Buret et al. 2017,SR63_41_r,1369,0.04,13.8,0.023,0.43,2,0.8,16.1,7.2,103.7,45,222,52.7,543,108
 Buret et al. 2017,SR63_43_c,1013,0.01,14.4,0.047,0.89,2.1,1.1,14.3,5.1,69.9,29.2,154,41.6,490,107.7
 Buret et al. 2017,SR63_44_c,705,0.02,11.1,0.011,0.27,0.9,0.6,6.9,2.9,41.7,20.3,115,32.1,384,94.4
 Buret et al. 2017,SR63_47_c,1079,0.02,18.6,0.015,0.33,0.8,0.6,7.9,3.5,55.2,29.7,177,51.6,651,159.5
 Buret et al. 2017,SR63_47_r,484,0.01,13.3,0.018,0.25,0.8,0.5,5.2,1.9,28.2,13.4,76,21.3,270,67.1
 Buret et al. 2017,SR63_48_c,1011,0.04,14.6,0.044,0.85,2.6,1.2,14.6,5.3,68.8,29.8,157,40.4,476,112.5
 Buret et al. 2017,SR63_51_c,1394,0.06,19.4,0.09,1.19,2.9,1.9,20.5,7.2,95.8,41.1,216,55.2,619,138.3
 Buret et al. 2017,SR63_51_r,1289,0.02,19.6,0.011,0.39,1.7,0.9,17.2,7.2,100.2,41.7,208,50.9,519,103.1
 Buret et al. 2017,SR63_52_c,2540,0.29,172,1.04,12.6,18.2,14.8,83.2,22.4,235,79.1,313,62.7,571,124.4
 Buret et al. 2017,SR63_53_c,963,0.15,14.8,0.079,0.56,1.4,0.9,11,4.8,63.6,29.8,151,40.4,439,98.9
 Buret et al. 2017,SR63_53_m,3190,0.01,40.5,0.015,0.87,4.9,2.1,48.9,19.8,267,109.1,513,119.9,1158,209.9
 Buret et al. 2017,SR63_54_c,895,0.04,10.2,0.008,0.51,1.1,0.5,7.2,3.4,46.6,23.9,142,40,479,116.7
 Buret et al. 2017,SR63_54_r,1726,0.01,15.6,0.016,0.26,1.5,0.9,15.7,8,118.6,54.9,288,71.7,751,152.3
 Buret et al. 2017,SR63_55_c,650,0.02,11.5,0.01,0.34,1,0.5,6.3,2.4,36.7,17.3,104,29.2,371,96.4
 Buret et al. 2017,SR63_56_c,1634,0.2,26.2,0.069,0.79,1.7,1.1,16.5,7.1,102.2,46.8,257,69.8,783,174.7
 Buret et al. 2017,SR63_60_c,1564,0.03,70.4,0.094,2.32,4.8,2,28,10,124.7,49.7,233,56.9,596,121
 Buret et al. 2017,SR63_60_r,1410,0.01,13.3,0.007,0.21,1.2,0.8,14.1,7,104.8,45.6,230,58.1,624,123.7
 Buret et al. 2017,SR63_63_c,704,0.01,11,0.034,0.74,1.2,0.8,8.2,2.9,42.2,19.9,110,30.9,384,96.4
 Buret et al. 2017,SR63_63_r,1858,0.01,24.6,0.014,0.5,2.2,1.5,22.2,9.7,136.9,57.7,293,73.7,760,151.6
 Buret et al. 2017,SR63_64_c,818,0.01,18.8,0.027,0.48,1.6,0.7,10.2,4.1,52.2,24.1,128,34.3,388,91.1
 Buret et al. 2017,SR63_65_c,1173,0.01,12.8,0.01,0.37,1.3,0.9,12.1,5.3,80.2,36.6,191,48.7,536,117.6
 Buret et al. 2017,SR63_68_c,698,0.05,11,0.036,0.45,1,0.6,8.4,3,41.9,19.2,109,31,376,95.6
 Buret et al. 2017,SR73_14_c,1129,0.05,21.6,0.063,1.23,2.5,1.2,16.6,6.1,80.7,34.1,179,44.7,480,105.1
 Buret et al. 2017,SR73_15_r,704,0.03,22.2,0.03,0.54,1.3,0.6,8.3,3.2,44.5,20.2,112,29.9,346,82
 Buret et al. 2017,SR73_18_c,1047,0.01,24.1,0.028,0.69,2,1,13.5,5.2,74,31.8,170,42.7,461,100.9
 Buret et al. 2017,SR73_21_m,4720,0.86,144.2,0.49,5.4,10.5,3.9,67.4,24.2,313,132.5,673,165.3,1778,377.8
 Buret et al. 2017,SR73_22_c,1295,0.08,24.7,0.114,1.85,4.3,1.9,24.3,8.5,106.1,42.8,214,52.2,545,117.3
 Buret et al. 2017,SR73_25_c,1597,0.02,25.8,0.14,2.79,5.6,2.6,31.5,10.9,133.7,52.3,251,57,586,120.5
 Buret et al. 2017,SR73_28_c,983,0.01,20.4,0.024,0.53,1.8,0.9,12.3,4.9,67.4,29.7,158,39.6,443,101.5
 Buret et al. 2017,SR73_31_r,850,0.03,27.7,0.027,0.72,1.7,0.9,12.6,4.7,61.1,26.2,133,32.8,349,73.7
 Buret et al. 2017,SR73_32_r,926,0.03,20.2,0.027,0.53,1.6,0.8,12,4.6,64.6,27.8,147,39.1,432,94.6
 Buret et al. 2017,SR73_38_c,6270,0.05,140,0.279,5.31,14.2,8,96.4,35.4,451,180,862,194,1920,369
 Buret et al. 2017,SR73_38_r,877,0.01,30.1,0.031,0.73,2,1,13.5,4.9,65.6,27,136,32.7,356,77.3
 Buret et al. 2017,SR73_41_c,1253,0.03,22.6,0.097,1.6,3.9,1.7,21.6,7.8,98.7,39.8,200,48,502,107.6
 Buret et al. 2017,SR73_44_c,1077,0.02,19,0.047,1.14,2.7,1.2,16,5.9,76.2,32.6,170,42.7,467,102.6
 Buret et al. 2017,SR73_44_r,903,0.02,29.6,0.033,0.72,1.8,1,12.2,4.7,62.5,26.8,141,34.9,378,82.2
 Buret et al. 2017,SR73_51_c,1230,0.11,26.2,0.105,1.21,3.1,1.4,19.4,7.3,90,38.1,191,47.2,503,110
 Buret et al. 2017,SR73_51_r,862,0.15,29,0.065,0.96,1.8,0.9,12.8,4.7,62.6,25.9,134,32.6,349,74.4
 Buret et al. 2017,SR73_55_c,1437,0.08,44.2,0.067,1.18,3,1.6,22.5,8.3,108.8,44.7,229,56.4,616,132.1
 Buret et al. 2017,SR73_55_r,866,0.01,31,0.038,0.86,2.2,0.9,12.4,4.5,62,26.5,134,33.7,364,78.6
 Buret et al. 2017,SR73_58_c,1190,0.05,26.9,0.041,1.07,2,1.1,15,6.1,83.8,35.9,194,49.1,548,122.5
 Buret et al. 2017,SR73_61_c,1154,0.05,25.9,0.059,1.05,2.8,1.3,16.3,6.4,85.3,35.8,186,46,497,108.9
 Buret et al. 2017,SR73_65_r,845,0.04,24,0.037,0.62,1.7,0.8,10.6,4.1,57.5,25.2,136,34.5,385,87.4
 Buret et al. 2017,SR73_67_c,649,0.04,10.4,0.016,0.32,0.8,0.5,7.2,2.9,41.1,18.5,107,29,339,80.1
 Buret et al. 2017,SR73_69_c,1334,0.03,30.6,0.125,2.08,3.9,1.8,25,8.5,103.7,43.2,216,52.3,568,117.8
 Buret et al. 2017,SR73_69_r,583,0.11,24,0.052,0.6,1.3,0.6,7.7,3,39.7,17.1,93,23.7,264,61.8
 Buret et al. 2017,SR73_70_c,1057,0.01,20.7,0.053,1.1,2.5,1.3,16.2,6.1,77.9,32.8,170,42.3,464,101.6
 Buret et al. 2017,SR73_70_r,711,0.02,22.1,0.033,0.59,1.5,0.7,9.5,3.6,49.8,21.3,111,27.6,305,67.9
 Buret et al. 2017,SR73_71_c,1411,0.91,37.1,0.285,2.32,3.8,1.8,24,8.9,115.7,48,240,58.1,609,128.8
 Buret et al. 2017,SR73_71_r,758,0.04,22.3,0.043,0.67,1.3,0.7,9.3,3.4,47.9,21.7,120,32.5,371,87.5
 Buret et al. 2017,SR73_80_r,856,0.01,19.4,0.033,0.51,1.5,0.8,10.5,4,56.8,25.9,139,35.8,400,91.4
 Buret et al. 2017,SR65_3_c,725,0.07,18.1,0.047,0.63,1.2,0.6,9.1,3.6,49.3,22.2,117,30.5,338,73.8
 Buret et al. 2017,SR65_4_c,1345,0.02,21.5,0.12,2.02,5.2,2.1,24.7,9.1,108.5,43.1,209,49.3,524,109.7
 Buret et al. 2017,SR65_11_c,1356,0.24,31.7,0.075,1.23,2.7,1.5,20.1,7.8,101.6,43.4,209,53.3,560,114.6
 Buret et al. 2017,SR65_28_c,4910,1.17,122,0.59,6.38,14.1,7,87,31.5,395.3,157.4,730,167.2,1640,304.9
 Buret et al. 2017,SR65_37_r,521,0.01,18.7,0.022,0.48,0.9,0.6,7.2,2.7,34.9,15.4,81,22.1,248,55.2
 Buret et al. 2017,SR65_39_c,906,0.11,16.4,0.062,1.27,3.2,0.9,15,5.2,65.6,28.8,149,38.5,413,96.2
 Buret et al. 2017,SR65_45_c,1528,0.05,33.5,0.078,1,3.2,1.5,20.3,8.2,111.2,47.5,240,61.7,660,135.6
 Buret et al. 2017,SR65_46_r,893,0.01,29.8,0.032,0.6,1.3,0.8,10.1,3.9,54.5,25.3,144,39.3,469,111.3
 Buret et al. 2017,SR65_50_r,623,0.04,25,0.061,0.55,1.4,0.7,9,3.4,45.7,18.2,93,23.8,260,57.7
 Buret et al. 2017,SR65_53_c,1360,0.09,26.6,0.11,1.93,4.4,1.7,23.2,8.3,107.1,43.1,212,53.1,576,115.1
 Buret et al. 2017,SR65_56_r,912,0.01,30.7,0.031,0.97,2,1.1,14.5,5.5,72.2,30.3,146,35.8,371,77
 Buret et al. 2017,SR65_58_r,689,0.01,26.6,0.021,0.76,1.6,0.7,9.9,3.7,47.4,19.9,108,27,316,68.7
 Buret et al. 2017,SR65_62_r,711,0.04,37,0.045,0.69,1.4,0.7,9.2,3.4,48,20.9,112,29.3,334,76
 Buret et al. 2017,SR65_63_r,892,0.01,17,0.071,1.32,2.4,1.3,14.8,5.1,65,26.8,138,35.1,377,84.9
 Buret et al. 2017,SR65_68_c,959,0.02,21.4,0.028,0.84,1.7,0.8,11.4,4.7,65.5,29.5,155,40.5,434,94.7
 Buret et al. 2017,SR65_69_c,1198,0.01,26.8,0.056,0.89,2.8,1.2,17.9,6.7,89.5,37.6,193,48.3,521,110.3
 Buret et al. 2017,SR43_1_c,1035,0.03,26.4,0.063,1.07,2.4,1.2,14.6,5.8,76,32.9,166,42,456,94.1
 Buret et al. 2017,SR43_4_c,1310,0.03,24.6,0.076,1.45,3.1,1.7,21.2,7.6,98.8,42.2,209,52.8,559,115.1
 Buret et al. 2017,SR43_5_r,1061,0.09,24.8,0.045,0.83,2.3,1,14.1,5.9,78.5,34.2,171,41.4,457,97.2
 Buret et al. 2017,SR43_6_c,867,0.01,16.1,0.021,0.3,1.4,0.6,11,4.2,57.1,26.3,139,37.7,403,89.7
 Buret et al. 2017,SR43_7_c,1640,0.01,41.7,0.057,1.76,3.9,2,26,9.9,126,52.4,254,60.4,619,123
 Buret et al. 2017,SR43_8_c,987,0.11,17.6,0.063,1.37,2.4,1.3,16.9,6,74.7,32.9,160,39.8,439,91.9
 Buret et al. 2017,SR43_8_r,666,0.01,20.1,0.019,0.44,1.2,0.6,8.6,3.2,43.7,19.4,107,28.8,330,72.2
 Buret et al. 2017,SR43_9_r,469,0.01,18.9,0.014,0.4,0.9,0.5,5.7,2.3,31.7,13.8,71,18.9,217,48.4
 Buret et al. 2017,SR43_13_c,1439,0.03,23.4,0.066,1.23,2.8,1.6,19.2,7.7,98.1,43.3,227,60.1,688,154.1
 Buret et al. 2017,SR43_13_r,470,0.04,18.6,0.036,0.47,0.9,0.5,5.7,2,28.9,13.6,73,19.8,238,54.9
 Buret et al. 2017,SR43_14_c,1970,0.01,26.3,0.099,1.98,4.3,1.8,25.5,9.9,127,55.8,293,79.3,896,199
 Buret et al. 2017,SR43_14_r,749,0.01,21.2,0.012,0.47,1.3,0.6,8.6,3.4,49.6,21.7,122,33.5,380,89.3
 Buret et al. 2017,SR43_15_r,557,0.06,19.1,0.038,0.35,1.2,0.6,8.3,2.9,37.1,16.2,85,22.7,249,58.3
 Buret et al. 2017,SR43_16_c,794,0.01,20.8,0.022,0.31,1.4,0.7,10.5,4.1,57.2,24.8,127,32.5,354,75
